Strike Price,expiryDate,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,date,Time
16000,24-Dec-2025,0.6666666666666666,0.0,0.0,0,0.0,7200.0,0.0,0.0,225,0,225,7758.25,0,0.0,23851.65,2025-04-18,09-18-02
17000,26-Jun-2025,2633.3333333333335,1.0,0.03798910978852729,11,0.0,6900.0,383.9499999999998,5.8923734471036875,2250,150,300,6377.3,150,7052.0,23851.65,2025-04-18,09-18-02
17000,25-Sep-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,225,0,225,6826.65,0,0.0,23851.65,2025-04-18,09-18-02
17000,24-Dec-2025,9.333333333333334,0.0,0.0,0,0.0,7010.0,0.0,0.0,225,150,225,6879.45,150,7710.0,23851.65,2025-04-18,09-18-02
18000,26-Jun-2025,1347.3333333333333,-12.0,-0.8827856792545365,48,0.0,5965.55,421.4499999999998,7.601774859760823,3825,1800,75,5902.4,75,5960.2,23851.65,2025-04-18,09-18-02
18000,25-Sep-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1125,0,225,5910.2,0,0.0,23851.65,2025-04-18,09-18-02
18000,24-Dec-2025,136.0,1.0,0.7407407407407407,2,0.0,6200.0,300.0,5.084745762711865,300,75,75,6200.0,75,6501.0,23851.65,2025-04-18,09-18-02
19000,26-Jun-2025,2859.0,-12.0,-0.4179728317659352,67,0.0,4954.65,383.2999999999993,8.384831614293354,3825,1875,75,4937.45,75,4981.6,23851.65,2025-04-18,09-18-02
19000,25-Sep-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,225,225,225,5005.4,225,5315.3,23851.65,2025-04-18,09-18-02
19000,24-Dec-2025,93.66666666666667,0.0,0.0,0,0.0,4600.0,0.0,0.0,75,0,75,4800.0,0,0.0,23851.65,2025-04-18,09-18-02
19500,24-Dec-2025,15.333333333333334,0.0,0.0,0,0.0,4000.0,0.0,0.0,75,0,75,3800.0,0,0.0,23851.65,2025-04-18,09-18-02
20000,26-Jun-2025,6305.0,212.0,3.4794025931396684,726,0.0,3995.0,381.6999999999998,10.56375058810505,4050,2250,75,3983.65,225,4019.25,23851.65,2025-04-18,09-18-02
20000,25-Sep-2025,4.0,0.0,0.0,0,0.0,3501.35,0.0,0.0,225,225,225,4111.1,225,4367.45,23851.65,2025-04-18,09-18-02
20000,24-Dec-2025,789.0,-64.33333333333333,-7.5390625,98,0.0,4520.0,322.8000000000002,7.690841513389883,300,450,75,4489.25,75,4549.95,23851.65,2025-04-18,09-18-02
20000,30-Dec-2027,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,23851.65,2025-04-18,09-18-02
20350,24-Apr-2025,422.0,-3.0,-0.7058823529411765,3,0.0,3494.55,428.1500000000001,13.96262718497261,7500,5700,300,3472.35,150,3515.45,23851.65,2025-04-18,09-18-02
20350,29-May-2025,10.0,1.0,11.11111111111111,1,0.0,3585.8,326.3000000000002,10.010737843227496,5250,3600,1725,3214.55,150,3630.35,23851.65,2025-04-18,09-18-02
20400,17-Apr-2025,4.0,0.0,0.0,0,0.0,2955.25,0.0,0.0,3450,3450,1725,3141.7,1725,3618.95,23851.65,2025-04-18,09-18-02
20400,24-Apr-2025,260.0,2.0,0.7751937984496124,3,0.0,3427.85,410.9000000000001,13.61971527536088,6825,5175,300,3431.1,300,3463.95,23851.65,2025-04-18,09-18-02
20400,30-Apr-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3450,3450,1725,3037.85,1725,3701.4,23851.65,2025-04-18,09-18-02
20400,29-May-2025,17.0,2.0,13.333333333333334,5,0.0,3490.0,435.0500000000002,14.240822272050286,5925,4125,675,3432.6,675,3651.95,23851.65,2025-04-18,09-18-02
20400,26-Jun-2025,1.0,1.0,0.0,1,0.0,3647.0,75.55000000000018,2.115387307676159,3525,1725,1725,3053.9,1725,4038.1,23851.65,2025-04-18,09-18-02
20450,17-Apr-2025,2.0,0.0,0.0,0,0.0,2203.95,0.75,0.03404139433551198,3450,3450,1725,3138.75,1725,3571.95,23851.65,2025-04-18,09-18-02
20450,24-Apr-2025,315.0,-1.0,-0.31645569620253167,1,0.0,3387.1,423.4000000000001,14.286196308668222,6000,4350,300,3380.05,225,3417.95,23851.65,2025-04-18,09-18-02
20450,30-Apr-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3450,3450,1725,2961.25,1725,3647.7,23851.65,2025-04-18,09-18-02
