Datetime,Close,High,Low,Open,Volume,Sequence,Velocity,Acceleration,Acceleration_MA
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-05-12 03:47:00,24554.19921875,24558.900390625,24541.05078125,24542.650390625,0,3,,,
2025-05-12 03:48:00,24554.30078125,24559.69921875,24551.099609375,24553.80078125,0,4,0.1015625,,
2025-05-12 03:49:00,24561.400390625,24562.75,24547.5,24555.30078125,0,5,7.099609375,6.998046875,6.998046875
2025-05-12 03:50:00,24579.25,24590.0,24562.44921875,24562.44921875,0,6,17.849609375,10.75,8.8740234375
2025-05-12 03:51:00,24577.80078125,24585.75,24573.05078125,24583.650390625,0,7,-1.44921875,-19.298828125,-0.5169270833333334
2025-05-12 03:52:00,24582.849609375,24589.69921875,24570.599609375,24575.650390625,0,8,5.048828125,6.498046875,1.23681640625
2025-05-12 03:53:00,24573.849609375,24588.0,24562.55078125,24581.44921875,0,9,-9.0,-14.048828125,-1.8203125
2025-05-12 03:54:00,24579.94921875,24581.150390625,24567.44921875,24575.0,0,10,6.099609375,15.099609375,0.9996744791666666
2025-05-12 03:55:00,24585.44921875,24589.099609375,24572.05078125,24578.650390625,0,11,5.5,-0.599609375,0.7712053571428571
2025-05-12 03:56:00,24579.5,24589.900390625,24576.849609375,24585.150390625,0,12,-5.94921875,-11.44921875,-0.75634765625
2025-05-12 03:57:00,24587.150390625,24595.0,24574.900390625,24581.599609375,0,13,7.650390625,13.599609375,0.8387586805555556
2025-05-12 03:58:00,24580.55078125,24586.900390625,24572.19921875,24586.599609375,0,14,-6.599609375,-14.25,-0.6701171875
2025-05-12 03:59:00,24595.19921875,24596.599609375,24579.400390625,24580.900390625,0,15,14.6484375,21.248046875,0.7548828125
2025-05-12 04:00:00,24586.94921875,24602.0,24586.94921875,24596.099609375,0,16,-8.25,-22.8984375,-2.6099609375
2025-05-12 04:01:00,24604.400390625,24608.05078125,24585.599609375,24587.599609375,0,17,17.451171875,25.701171875,1.8900390625
2025-05-12 04:02:00,24614.0,24614.0,24596.30078125,24603.599609375,0,18,9.599609375,-7.8515625,0.455078125
2025-05-12 04:03:00,24610.5,24619.099609375,24610.5,24613.55078125,0,19,-3.5,-13.099609375,0.55
2025-05-12 04:04:00,24618.650390625,24620.25,24606.5,24610.599609375,0,20,8.150390625,11.650390625,0.205078125
2025-05-12 04:05:00,24621.599609375,24632.69921875,24618.55078125,24618.55078125,0,21,2.94921875,-5.201171875,-0.255078125
2025-05-12 04:06:00,24619.150390625,24626.94921875,24612.900390625,24622.05078125,0,22,-2.44921875,-5.3984375,0.35
2025-05-12 04:07:00,24614.150390625,24625.25,24612.849609375,24619.25,0,23,-5.0,-2.55078125,-1.2650390625
2025-05-12 04:08:00,24604.55078125,24614.849609375,24602.25,24612.55078125,0,24,-9.599609375,-4.599609375,-0.3
2025-05-12 04:09:00,24607.150390625,24610.650390625,24603.55078125,24606.69921875,0,25,2.599609375,12.19921875,-1.2048828125
2025-05-12 04:10:00,24618.349609375,24621.25,24605.80078125,24607.849609375,0,26,11.19921875,8.599609375,1.944921875
2025-05-12 04:11:00,24609.80078125,24619.05078125,24604.75,24617.94921875,0,27,-8.548828125,-19.748046875,-2.6
2025-05-12 04:12:00,24598.5,24613.69921875,24597.0,24609.19921875,0,28,-11.30078125,-2.751953125,-2.0900390625
