Datetime,Close,High,Low,Open,Volume,Sequence,Velocity,Acceleration,Acceleration_MA
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-02-27 03:47:00,22583.349609375,22588.44921875,22580.94921875,22585.849609375,0,3,,,
2025-02-27 03:48:00,22588.69921875,22590.400390625,22581.5,22583.150390625,0,4,5.349609375,,
2025-02-27 03:49:00,22579.44921875,22590.25,22579.44921875,22588.19921875,0,5,-9.25,-14.599609375,-14.599609375
2025-02-27 03:50:00,22583.150390625,22587.05078125,22579.400390625,22579.400390625,0,6,3.701171875,12.951171875,-0.82421875
2025-02-27 03:51:00,22591.0,22592.849609375,22579.349609375,22583.19921875,0,7,7.849609375,4.1484375,0.8333333333333334
2025-02-27 03:52:00,22595.25,22595.599609375,22587.5,22590.150390625,0,8,4.25,-3.599609375,-0.27490234375
2025-02-27 03:53:00,22583.44921875,22595.80078125,22583.44921875,22594.900390625,0,9,-11.80078125,-16.05078125,-3.430078125
2025-02-27 03:54:00,22568.5,22584.0,22564.94921875,22584.0,0,10,-14.94921875,-3.1484375,-3.3831380208333335
2025-02-27 03:55:00,22567.19921875,22569.849609375,22562.150390625,22568.849609375,0,11,-1.30078125,13.6484375,-0.9500558035714286
2025-02-27 03:56:00,22559.650390625,22570.150390625,22558.900390625,22566.849609375,0,12,-7.548828125,-6.248046875,-1.6123046875
2025-02-27 03:57:00,22558.19921875,22566.19921875,22557.69921875,22560.150390625,0,13,-1.451171875,6.09765625,-0.7556423611111112
2025-02-27 03:58:00,22560.30078125,22561.5,22555.900390625,22558.150390625,0,14,2.1015625,3.552734375,-0.3248046875
2025-02-27 03:59:00,22555.75,22562.30078125,22552.849609375,22560.5,0,15,-4.55078125,-6.65234375,0.469921875
2025-02-27 04:00:00,22554.69921875,22559.55078125,22553.69921875,22554.80078125,0,16,-1.05078125,3.5,-0.4751953125
2025-02-27 04:01:00,22556.599609375,22560.900390625,22550.69921875,22554.19921875,0,17,1.900390625,2.951171875,-0.594921875
2025-02-27 04:02:00,22558.849609375,22560.849609375,22553.44921875,22556.80078125,0,18,2.25,0.349609375,-0.2
2025-02-27 04:03:00,22569.75,22576.25,22558.650390625,22559.349609375,0,19,10.900390625,8.650390625,2.2701171875
2025-02-27 04:04:00,22562.400390625,22572.25,22561.94921875,22568.80078125,0,20,-7.349609375,-18.25,0.7599609375
2025-02-27 04:05:00,22572.94921875,22573.150390625,22562.44921875,22562.44921875,0,21,10.548828125,17.8984375,1.1849609375
2025-02-27 04:06:00,22571.44921875,22575.0,22570.349609375,22572.05078125,0,22,-1.5,-12.048828125,0.6048828125
2025-02-27 04:07:00,22560.69921875,22571.400390625,22560.69921875,22570.5,0,23,-10.75,-9.25,-0.9298828125
2025-02-27 04:08:00,22541.75,22560.349609375,22541.69921875,22560.349609375,0,24,-18.94921875,-8.19921875,-2.105078125
2025-02-27 04:09:00,22541.5,22542.5,22535.150390625,22542.05078125,0,25,-0.25,18.69921875,0.430078125
2025-02-27 04:10:00,22559.349609375,22559.55078125,22541.05078125,22542.5,0,26,17.849609375,18.099609375,1.8900390625
2025-02-27 04:11:00,22556.30078125,22561.400390625,22553.400390625,22560.44921875,0,27,-3.048828125,-20.8984375,-0.494921875
2025-02-27 04:12:00,22554.400390625,22556.650390625,22553.0,22556.599609375,0,28,-1.900390625,1.1484375,-0.4150390625
2025-02-27 04:13:00,22557.55078125,22557.94921875,22553.75,22554.69921875,0,29,3.150390625,5.05078125,-0.775
2025-02-27 04:14:00,22560.19921875,22563.69921875,22556.599609375,22557.5,0,30,2.6484375,-0.501953125,0.9998046875
2025-02-27 04:15:00,22553.849609375,22561.25,22552.80078125,22560.25,0,31,-6.349609375,-8.998046875,-1.68984375
2025-02-27 04:16:00,22563.400390625,22570.0,22553.75,22554.75,0,32,9.55078125,15.900390625,1.105078125
2025-02-27 04:17:00,22563.400390625,22566.30078125,22558.80078125,22564.099609375,0,33,0.0,-9.55078125,1.075
2025-02-27 04:18:00,22559.400390625,22563.849609375,22557.30078125,22563.75,0,34,-4.0,-4.0,1.494921875
2025-02-27 04:19:00,22554.400390625,22562.150390625,22554.25,22559.849609375,0,35,-5.0,-1.0,-0.475
2025-02-27 04:20:00,22545.44921875,22555.900390625,22544.44921875,22554.55078125,0,36,-8.951171875,-3.951171875,-2.680078125
2025-02-27 04:21:00,22541.19921875,22545.44921875,22540.900390625,22545.44921875,0,37,-4.25,4.701171875,-0.1201171875
2025-02-27 04:22:00,22546.69921875,22548.0,22540.099609375,22541.599609375,0,38,5.5,9.75,0.7400390625
2025-02-27 04:23:00,22545.5,22548.30078125,22544.25,22545.849609375,0,39,-1.19921875,-6.69921875,-0.4349609375
2025-02-27 04:24:00,22537.30078125,22545.94921875,22535.900390625,22545.19921875,0,40,-8.19921875,-7.0,-1.084765625
2025-02-27 04:25:00,22534.650390625,22538.599609375,22534.19921875,22537.650390625,0,41,-2.650390625,5.548828125,0.369921875
2025-02-27 04:26:00,22536.55078125,22536.599609375,22530.44921875,22534.25,0,42,1.900390625,4.55078125,-0.7650390625
2025-02-27 04:27:00,22542.650390625,22543.05078125,22535.69921875,22536.25,0,43,6.099609375,4.19921875,0.6099609375
2025-02-27 04:28:00,22545.19921875,22548.650390625,22541.69921875,22542.599609375,0,44,2.548828125,-3.55078125,0.6548828125
2025-02-27 04:29:00,22538.400390625,22546.19921875,22537.849609375,22545.0,0,45,-6.798828125,-9.34765625,-0.1798828125
2025-02-27 04:30:00,22541.75,22542.0,22537.599609375,22537.94921875,0,46,3.349609375,10.1484375,1.230078125
2025-02-27 04:31:00,22543.25,22544.44921875,22541.150390625,22541.69921875,0,47,1.5,-1.849609375,0.575
2025-02-27 04:32:00,22544.75,22548.30078125,22542.19921875,22542.650390625,0,48,1.5,0.0,-0.4
2025-02-27 04:33:00,22537.400390625,22544.849609375,22536.849609375,22544.849609375,0,49,-7.349609375,-8.849609375,-0.6150390625
2025-02-27 04:34:00,22539.0,22540.0,22536.599609375,22537.05078125,0,50,1.599609375,8.94921875,0.9798828125
2025-02-27 04:35:00,22545.900390625,22547.19921875,22539.0,22539.80078125,0,51,6.900390625,5.30078125,0.955078125
2025-02-27 04:36:00,22540.349609375,22546.400390625,22539.75,22545.650390625,0,52,-5.55078125,-12.451171875,-0.7451171875
2025-02-27 04:37:00,22541.25,22543.05078125,22539.5,22540.44921875,0,53,0.900390625,6.451171875,-0.519921875
2025-02-27 04:38:00,22545.349609375,22545.349609375,22538.55078125,22540.69921875,0,54,4.099609375,3.19921875,0.155078125
2025-02-27 04:39:00,22548.94921875,22552.44921875,22545.099609375,22545.55078125,0,55,3.599609375,-0.5,1.03984375
2025-02-27 04:40:00,22544.30078125,22549.55078125,22543.849609375,22548.94921875,0,56,-4.6484375,-8.248046875,-0.7998046875
2025-02-27 04:41:00,22543.25,22545.650390625,22543.05078125,22544.900390625,0,57,-1.05078125,3.59765625,-0.255078125
