Strike Price,expiryDate,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,date,Time
12000,31-Dec-2026,14.666666666666666,0.0,0.0,0,0.0,20.05,0.0,0.0,1800,0,900,0.1,0,0.0,22828.55,2025-04-14,09-23-14
13000,24-Dec-2025,58.0,6.0,11.538461538461538,7,33.63,20.0,-0.05000000000000071,-0.24937655860349484,3150,0,75,16.0,0,0.0,22828.55,2025-04-14,09-23-14
13000,31-Dec-2026,27.0,0.0,0.0,0,0.0,20.05,0.0,0.0,2100,0,300,1.2,0,0.0,22828.55,2025-04-14,09-23-14
14000,26-Jun-2025,488.6666666666667,29.0,6.30891950688905,1130,46.45,10.0,-2.3000000000000007,-18.699186991869922,113475,51525,450,9.1,75,10.0,22828.55,2025-04-14,09-23-14
14000,25-Jun-2026,14.333333333333334,0.0,0.0,0,0.0,20.05,0.0,0.0,1050,0,150,20.8,0,0.0,22828.55,2025-04-14,09-23-14
14000,31-Dec-2026,20.666666666666668,0.0,0.0,0,0.0,20.2,0.0,0.0,900,0,900,0.1,0,0.0,22828.55,2025-04-14,09-23-14
15000,26-Jun-2025,316.3333333333333,22.0,7.474518686296716,181,41.83,12.4,-0.5,-3.875968992248062,94200,6675,300,10.3,75,12.8,22828.55,2025-04-14,09-23-14
15000,24-Dec-2025,38.333333333333336,9.0,30.681818181818183,9,26.77,20.45,0.3999999999999986,1.9950124688279232,5775,0,3075,20.45,0,0.0,22828.55,2025-04-14,09-23-14
15000,25-Jun-2026,13.333333333333334,0.0,0.0,0,0.0,20.2,0.0,0.0,1050,0,150,23.05,0,0.0,22828.55,2025-04-14,09-23-14
15000,31-Dec-2026,18.666666666666668,0.0,0.0,0,0.0,25.05,0.0,0.0,1500,0,600,20.0,0,0.0,22828.55,2025-04-14,09-23-14
15000,30-Dec-2027,6.333333333333333,0.0,0.0,0,0.0,43.05,0.0,0.0,75,0,75,42.45,0,0.0,22828.55,2025-04-14,09-23-14
16000,26-Jun-2025,935.0,-205.0,-17.982456140350877,616,37.87,17.0,-1.3500000000000014,-7.356948228882841,215850,9075,375,16.5,900,17.0,22828.55,2025-04-14,09-23-14
