Strike Price,expiryDate,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,date,Time
17000,24-Dec-2025,9.333333333333334,0.0,0.0,0,0.0,7010.0,0.0,0.0,75,0,75,5951.0,0,0.0,22795.9,2025-02-23,00-23-30
18000,27-Mar-2025,6109.0,-2.0,-0.03272786777941417,89,0.0,4903.9,-125.95000000000073,-2.5040508166247646,4425,4875,75,4865.95,75,4899.9,22795.9,2025-02-23,00-23-30
18000,26-Jun-2025,31.333333333333332,0.0,0.0,0,0.0,5700.0,0.0,0.0,1875,150,75,4485.3,75,5893.3,22795.9,2025-02-23,00-23-30
18000,24-Dec-2025,125.0,0.0,0.0,0,0.0,5700.0,0.0,0.0,150,0,75,5300.0,0,0.0,22795.9,2025-02-23,00-23-30
19000,27-Mar-2025,650.3333333333334,-17.0,-2.5474525474525476,50,0.0,3910.0,-137.30000000000018,-3.392385046821342,6825,5775,75,3900.0,75,3919.95,22795.9,2025-02-23,00-23-30
19000,26-Jun-2025,1207.0,26.0,2.201524132091448,34,0.0,4220.0,-112.64999999999964,-2.6000253886189664,150,300,75,4160.15,75,4211.95,22795.9,2025-02-23,00-23-30
19000,24-Dec-2025,86.66666666666667,0.0,0.0,0,0.0,4900.0,0.0,0.0,75,0,75,4500.0,0,0.0,22795.9,2025-02-23,00-23-30
19500,24-Dec-2025,19.333333333333332,0.0,0.0,0,0.0,4700.0,0.0,0.0,225,225,75,3800.05,75,4499.95,22795.9,2025-02-23,00-23-30
20000,27-Mar-2025,6286.666666666667,3.0,0.04774282531430693,223,0.0,2923.05,-137.0,-4.477051028577964,5700,6600,75,2908.95,75,2932.5,22795.9,2025-02-23,00-23-30
20000,26-Jun-2025,397.0,52.0,15.072463768115941,60,0.0,3274.0,-116.80000000000018,-3.4446148401557206,525,225,75,3242.8,75,3296.35,22795.9,2025-02-23,00-23-30
20000,24-Dec-2025,445.0,0.0,0.0,0,0.0,3970.75,0.0,0.0,150,75,75,3700.0,75,4100.0,22795.9,2025-02-23,00-23-30
21000,27-Mar-2025,5958.0,205.33333333333334,3.5693591377911695,403,0.0,1952.0,-127.84999999999991,-6.14707791427266,9825,10650,75,1936.3,300,1948.9,22795.9,2025-02-23,00-23-30
21000,26-Jun-2025,96.0,15.0,18.51851851851852,16,0.0,2399.9,-104.5,-4.172656125219613,750,1650,75,2347.8,225,2390.0,22795.9,2025-02-23,00-23-30
21000,24-Dec-2025,135.33333333333334,-1.0,-0.7334963325183375,4,0.0,3085.05,-175.94999999999982,-5.395584176632929,450,450,75,3068.85,75,3114.15,22795.9,2025-02-23,00-23-30
21100,27-Feb-2025,85.0,9.0,11.842105263157896,14,0.0,1720.0,-115.34999999999991,-6.2849047865529695,11100,8100,1125,1681.1,225,1700.9,22795.9,2025-02-23,00-23-30
21100,06-Mar-2025,1.0,1.0,0.0,1,18.93,1774.1,-522.2000000000003,-22.740931063014425,3450,3450,1725,1575.5,1725,1935.2,22795.9,2025-02-23,00-23-30
