Strike Price,expiryDate,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,date,Time
16000,24-Dec-2025,0.6666666666666666,0.0,0.0,0,0.0,7200.0,0.0,0.0,225,0,225,7473.05,0,0.0,23519.35,2025-03-31,09-19-07
17000,26-Jun-2025,2436.3333333333335,10.0,0.41214452534688834,60,0.0,6683.05,-139.75,-2.048279298821598,3825,75,75,6688.4,75,6810.95,23519.35,2025-03-31,09-19-07
17000,24-Dec-2025,9.333333333333334,0.0,0.0,0,0.0,7010.0,0.0,0.0,75,0,75,6650.0,0,0.0,23519.35,2025-03-31,09-19-07
18000,26-Jun-2025,946.3333333333334,14.0,1.5016088666428316,73,0.0,5715.6,-128.25,-2.194614851510562,0,75,0,0.0,75,5773.7,23519.35,2025-03-31,09-19-07
18000,24-Dec-2025,127.0,0.0,0.0,0,0.0,5829.55,0.0,0.0,75,0,75,5900.0,0,0.0,23519.35,2025-03-31,09-19-07
19000,26-Jun-2025,2404.0,-11.0,-0.4554865424430642,29,0.0,4752.9,-147.20000000000073,-3.0040203261158083,2100,1875,75,4761.6,75,5084.9,23519.35,2025-03-31,09-19-07
19000,24-Dec-2025,93.66666666666667,2.0,2.1818181818181817,4,0.0,5225.0,-227.5,-4.1723979825768,150,150,75,5100.05,75,5447.3,23519.35,2025-03-31,09-19-07
19500,24-Dec-2025,15.333333333333334,-1.0,-6.122448979591836,1,0.0,4800.0,700.0,17.073170731707318,0,75,0,0.0,75,4900.0,23519.35,2025-03-31,09-19-07
20000,26-Jun-2025,6494.0,189.0,2.9976209357652657,825,0.0,3809.15,-134.5,-3.410546067729134,2550,2250,75,3816.1,75,3835.9,23519.35,2025-03-31,09-19-07
20000,24-Dec-2025,638.3333333333334,-25.0,-3.7688442211055277,82,0.0,4360.0,-179.39999999999964,-3.9520641494470556,300,300,75,4355.75,75,4434.45,23519.35,2025-03-31,09-19-07
20000,31-Dec-2026,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,23519.35,2025-03-31,09-19-07
20350,03-Apr-2025,8.0,0.0,0.0,0,0.0,3371.75,0.0,0.0,5700,5850,1500,3123.0,1500,3370.9,23519.35,2025-03-31,09-19-07
20350,24-Apr-2025,93.0,0.0,0.0,0,0.0,3408.75,2.400000000000091,0.07045664714430669,5325,3450,75,3234.8,1725,3371.55,23519.35,2025-03-31,09-19-07
20350,29-May-2025,4.0,0.0,0.0,0,0.0,2793.55,0.0,0.0,3750,1950,225,3287.5,225,3497.9,23519.35,2025-03-31,09-19-07
20400,03-Apr-2025,8.0,0.0,0.0,0,0.0,3322.85,0.0,0.0,5700,5700,1500,3073.2,1500,3206.7,23519.35,2025-03-31,09-19-07
20400,24-Apr-2025,20.0,0.0,0.0,0,0.0,3427.3,0.40000000000009095,0.0116723569406779,5325,3600,75,3190.25,150,3250.0,23519.35,2025-03-31,09-19-07
