Strike Price,expiryDate,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,date,Time
17000,26-Jun-2025,2641.3333333333335,-3.0,-0.11345014496407411,10,0.0,5565.0,-174.14999999999964,-3.0344214735631523,2625,3150,675,4917.6,300,5964.85,22399.15,2025-04-10,09-20-12
18000,26-Jun-2025,1378.3333333333333,72.0,5.5116101046185255,91,0.0,4630.0,-146.75,-3.0721725022243156,1875,1950,75,4580.05,75,5022.4,22399.15,2025-04-10,09-20-12
18000,24-Dec-2025,128.0,0.0,0.0,0,0.0,5300.0,0.0,0.0,75,0,75,4705.0,0,0.0,22399.15,2025-04-10,09-20-12
19000,26-Jun-2025,2825.0,64.0,2.3180007243752265,99,0.0,3686.75,-138.8499999999999,-3.6294960267670406,2025,2250,75,3695.05,225,3959.9,22399.15,2025-04-10,09-20-12
19000,25-Sep-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,22399.15,2025-04-10,09-20-12
19000,24-Dec-2025,92.66666666666667,0.0,0.0,0,0.0,4192.65,0.0,0.0,75,75,75,4111.0,75,5500.0,22399.15,2025-04-10,09-20-12
19500,24-Dec-2025,15.333333333333334,0.0,0.0,0,0.0,4000.0,0.0,0.0,75,75,75,3700.0,75,4500.0,22399.15,2025-04-10,09-20-12
20000,26-Jun-2025,5879.0,-100.0,-1.6725204883759826,317,14.13,2831.85,-86.30000000000018,-2.9573531175573624,4725,2100,600,2796.3,75,2844.0,22399.15,2025-04-10,09-20-12
20000,25-Sep-2025,4.0,0.0,0.0,0,0.0,3501.35,0.0,0.0,0,0,0,0.0,0,0.0,22399.15,2025-04-10,09-20-12
20000,24-Dec-2025,828.3333333333334,17.0,2.09531635168447,29,0.0,3470.0,-96.0,-2.69209197980931,0,300,0,0.0,75,3500.0,22399.15,2025-04-10,09-20-12
20000,31-Dec-2026,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,22399.15,2025-04-10,09-20-12
20350,24-Apr-2025,481.0,-7.0,-1.4344262295081966,10,28.09,2151.9,-195.1500000000001,-8.314692912379373,5700,4650,675,2045.25,300,2202.75,22399.15,2025-04-10,09-20-12
20350,29-May-2025,8.0,0.0,0.0,0,0.0,2530.8,0.0,0.0,3675,3450,75,2130.75,1725,2499.4,22399.15,2025-04-10,09-20-12
20400,09-Apr-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1725,1725,1725,1863.7,1725,2286.0,22399.15,2025-04-10,09-20-12
20400,17-Apr-2025,5.0,3.0,150.0,5,33.67,2055.0,-196.6500000000001,-8.733595363400177,3075,4650,450,2072.45,150,2125.5,22399.15,2025-04-10,09-20-12
20400,24-Apr-2025,300.0,-14.0,-4.45859872611465,130,31.21,2118.65,-181.8499999999999,-7.904803303629642,10275,5100,225,2055.2,300,2159.65,22399.15,2025-04-10,09-20-12
20400,29-May-2025,16.0,1.0,6.666666666666667,6,19.15,2319.55,71.55000000000018,3.1828291814946703,3675,3525,75,2267.0,75,2412.45,22399.15,2025-04-10,09-20-12
20400,26-Jun-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2625,1725,900,1856.0,1725,2705.05,22399.15,2025-04-10,09-20-12
20450,09-Apr-2025,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1725,1725,1725,1822.25,1725,2131.05,22399.15,2025-04-10,09-20-12
20450,17-Apr-2025,2.0,0.0,0.0,0,0.0,2203.95,0.75,0.03404139433551198,1725,1725,1725,1828.7,1725,2162.25,22399.15,2025-04-10,09-20-12
