Datetime,Close,High,Low,Open,Volume,Sequence,Velocity,Acceleration,Acceleration_MA
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-04-11 03:47:00,22758.44921875,22762.900390625,22739.75,22747.55078125,0,3,,,
2025-04-11 03:48:00,22777.80078125,22780.099609375,22759.5,22759.5,0,4,19.3515625,,
2025-04-11 03:49:00,22765.19921875,22780.94921875,22754.849609375,22777.849609375,0,5,-12.6015625,-31.953125,-31.953125
2025-04-11 03:50:00,22766.30078125,22778.0,22759.150390625,22766.05078125,0,6,1.1015625,13.703125,-9.125
2025-04-11 03:51:00,22775.5,22780.0,22758.349609375,22764.55078125,0,7,9.19921875,8.09765625,-3.3841145833333335
2025-04-11 03:52:00,22775.30078125,22784.30078125,22775.099609375,22776.25,0,8,-0.19921875,-9.3984375,-4.8876953125
2025-04-11 03:53:00,22781.099609375,22782.849609375,22771.849609375,22774.19921875,0,9,5.798828125,5.998046875,-2.710546875
2025-04-11 03:54:00,22812.099609375,22812.150390625,22780.55078125,22781.0,0,10,31.0,25.201171875,1.94140625
2025-04-11 03:55:00,22797.900390625,22820.5,22796.75,22812.44921875,0,11,-14.19921875,-45.19921875,-4.79296875
2025-04-11 03:56:00,22769.69921875,22797.44921875,22767.25,22796.900390625,0,12,-28.201171875,-14.001953125,-5.944091796875
2025-04-11 03:57:00,22771.400390625,22783.5,22766.349609375,22774.25,0,13,1.701171875,29.90234375,-1.9611545138888888
2025-04-11 03:58:00,22762.349609375,22782.55078125,22761.099609375,22770.25,0,14,-9.05078125,-10.751953125,-2.840234375
2025-04-11 03:59:00,22762.150390625,22775.099609375,22758.599609375,22762.849609375,0,15,-0.19921875,8.8515625,1.240234375
2025-04-11 04:00:00,22777.94921875,22787.5,22761.80078125,22762.44921875,0,16,15.798828125,15.998046875,1.4697265625
2025-04-11 04:01:00,22766.599609375,22782.150390625,22766.599609375,22778.55078125,0,17,-11.349609375,-27.1484375,-2.0548828125
2025-04-11 04:02:00,22777.5,22778.44921875,22766.099609375,22766.55078125,0,18,10.900390625,22.25,1.1099609375
2025-04-11 04:03:00,22778.44921875,22782.69921875,22771.150390625,22777.650390625,0,19,0.94921875,-9.951171875,-0.4849609375
2025-04-11 04:04:00,22794.19921875,22794.25,22776.80078125,22778.19921875,0,20,15.75,14.80078125,-1.525
2025-04-11 04:05:00,22794.19921875,22800.69921875,22790.30078125,22794.599609375,0,21,0.0,-15.75,1.419921875
2025-04-11 04:06:00,22831.44921875,22838.099609375,22794.349609375,22794.349609375,0,22,37.25,37.25,6.5451171875
2025-04-11 04:07:00,22839.5,22847.55078125,22830.900390625,22832.099609375,0,23,8.05078125,-29.19921875,0.6349609375
2025-04-11 04:08:00,22842.349609375,22844.30078125,22836.69921875,22840.849609375,0,24,2.849609375,-5.201171875,1.1900390625
2025-04-11 04:09:00,22844.400390625,22847.55078125,22839.900390625,22842.150390625,0,25,2.05078125,-0.798828125,0.225
2025-04-11 04:10:00,22841.349609375,22845.69921875,22836.650390625,22845.69921875,0,26,-3.05078125,-5.1015625,-1.8849609375
2025-04-11 04:11:00,22838.5,22855.44921875,22837.55078125,22842.5,0,27,-2.849609375,0.201171875,0.85
2025-04-11 04:12:00,22844.80078125,22846.599609375,22837.75,22839.0,0,28,6.30078125,9.150390625,-0.4599609375
2025-04-11 04:13:00,22845.599609375,22849.94921875,22839.650390625,22844.150390625,0,29,0.798828125,-5.501953125,-0.0150390625
2025-04-11 04:14:00,22849.0,22857.650390625,22844.650390625,22846.05078125,0,30,3.400390625,2.6015625,-1.2349609375
2025-04-11 04:15:00,22843.099609375,22857.05078125,22842.650390625,22849.44921875,0,31,-5.900390625,-9.30078125,-0.5900390625
2025-04-11 04:16:00,22841.69921875,22846.599609375,22838.25,22843.19921875,0,32,-1.400390625,4.5,-3.8650390625
2025-04-11 04:17:00,22841.599609375,22844.0,22835.900390625,22842.150390625,0,33,-0.099609375,1.30078125,-0.8150390625
2025-04-11 04:18:00,22854.30078125,22854.69921875,22841.099609375,22841.5,0,34,12.701171875,12.80078125,0.98515625
2025-04-11 04:19:00,22870.099609375,22874.25,22848.650390625,22853.650390625,0,35,15.798828125,3.09765625,1.3748046875
2025-04-11 04:20:00,22856.5,22872.0,22856.30078125,22870.55078125,0,36,-13.599609375,-29.3984375,-1.0548828125
2025-04-11 04:21:00,22855.69921875,22865.5,22855.150390625,22855.849609375,0,37,-0.80078125,12.798828125,0.2048828125
2025-04-11 04:22:00,22852.94921875,22858.25,22852.69921875,22855.69921875,0,38,-2.75,-1.94921875,-0.905078125
2025-04-11 04:23:00,22857.30078125,22859.349609375,22847.599609375,22853.900390625,0,39,4.3515625,7.1015625,0.3552734375
2025-04-11 04:24:00,22859.69921875,22862.05078125,22849.349609375,22857.849609375,0,40,2.3984375,-1.953125,-0.1001953125
2025-04-11 04:25:00,22858.400390625,22862.150390625,22855.650390625,22860.25,0,41,-1.298828125,-3.697265625,0.46015625
2025-04-11 04:26:00,22863.30078125,22867.94921875,22856.44921875,22858.0,0,42,4.900390625,6.19921875,0.630078125
2025-04-11 04:27:00,22853.05078125,22864.75,22853.05078125,22863.650390625,0,43,-10.25,-15.150390625,-1.0150390625
2025-04-11 04:28:00,22830.75,22852.19921875,22819.94921875,22852.19921875,0,44,-22.30078125,-12.05078125,-3.5001953125
2025-04-11 04:29:00,22827.599609375,22840.400390625,22826.05078125,22831.69921875,0,45,-3.150390625,19.150390625,-1.894921875
2025-04-11 04:30:00,22835.849609375,22842.19921875,22827.19921875,22827.19921875,0,46,8.25,11.400390625,2.1849609375
2025-04-11 04:31:00,22855.650390625,22856.25,22836.30078125,22836.30078125,0,47,19.80078125,11.55078125,2.06015625
2025-04-11 04:32:00,22856.349609375,22859.69921875,22854.05078125,22854.900390625,0,48,0.69921875,-19.1015625,0.344921875
2025-04-11 04:33:00,22844.650390625,22856.0,22838.80078125,22855.75,0,49,-11.69921875,-12.3984375,-1.605078125
2025-04-11 04:34:00,22835.099609375,22845.650390625,22833.69921875,22845.650390625,0,50,-9.55078125,2.1484375,-1.194921875
2025-04-11 04:35:00,22844.05078125,22845.25,22832.349609375,22835.400390625,0,51,8.951171875,18.501953125,1.025
2025-04-11 04:36:00,22827.80078125,22844.55078125,22824.75,22844.349609375,0,52,-16.25,-25.201171875,-2.1150390625
2025-04-11 04:37:00,22820.94921875,22828.150390625,22818.900390625,22828.099609375,0,53,-6.8515625,9.3984375,0.33984375
2025-04-11 04:38:00,22830.30078125,22830.55078125,22819.94921875,22821.05078125,0,54,9.3515625,16.203125,3.165234375
2025-04-11 04:39:00,22817.25,22830.30078125,22815.05078125,22829.099609375,0,55,-13.05078125,-22.40234375,-0.9900390625
2025-04-11 04:40:00,22809.80078125,22818.69921875,22807.80078125,22817.94921875,0,56,-7.44921875,5.6015625,-1.569921875
2025-04-11 04:41:00,22822.400390625,22826.94921875,22808.900390625,22809.900390625,0,57,12.599609375,20.048828125,-0.7201171875
2025-04-11 04:42:00,22835.650390625,22842.05078125,22821.75,22821.75,0,58,13.25,0.650390625,1.255078125
2025-04-11 04:43:00,22837.650390625,22838.400390625,22827.30078125,22836.0,0,59,2.0,-11.25,1.369921875
2025-04-11 04:44:00,22832.69921875,22836.75,22828.650390625,22836.75,0,60,-4.951171875,-6.951171875,0.4599609375
2025-04-11 04:45:00,22841.099609375,22843.30078125,22833.19921875,22833.19921875,0,61,8.400390625,13.3515625,-0.055078125
2025-04-11 04:46:00,22836.349609375,22842.30078125,22833.69921875,22840.55078125,0,62,-4.75,-13.150390625,1.15
2025-04-11 04:47:00,22836.150390625,22836.44921875,22827.75,22835.849609375,0,63,-0.19921875,4.55078125,0.665234375
2025-04-11 04:48:00,22824.44921875,22839.349609375,22821.75,22836.19921875,0,64,-11.701171875,-11.501953125,-2.1052734375
2025-04-11 04:49:00,22820.25,22823.80078125,22816.44921875,22820.55078125,0,65,-4.19921875,7.501953125,0.88515625
