Datetime,Close,High,Low,Open,Volume,Sequence,Velocity,Acceleration,Acceleration_MA
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-03-25 03:47:00,23745.25,23748.349609375,23733.25,23738.900390625,0,3,,,
2025-03-25 03:48:00,23741.099609375,23751.30078125,23737.150390625,23745.30078125,0,4,-4.150390625,,
2025-03-25 03:49:00,23727.599609375,23740.05078125,23727.599609375,23740.05078125,0,5,-13.5,-9.349609375,-9.349609375
2025-03-25 03:50:00,23717.400390625,23727.349609375,23716.099609375,23726.30078125,0,6,-10.19921875,3.30078125,-3.0244140625
2025-03-25 03:51:00,23703.349609375,23717.849609375,23700.69921875,23717.05078125,0,7,-14.05078125,-3.8515625,-3.3001302083333335
2025-03-25 03:52:00,23717.599609375,23721.849609375,23694.30078125,23702.30078125,0,8,14.25,28.30078125,4.60009765625
2025-03-25 03:53:00,23710.349609375,23718.55078125,23708.25,23718.55078125,0,9,-7.25,-21.5,-0.619921875
2025-03-25 03:54:00,23685.75,23709.349609375,23684.849609375,23709.349609375,0,10,-24.599609375,-17.349609375,-3.408203125
2025-03-25 03:55:00,23692.150390625,23692.30078125,23679.80078125,23684.349609375,0,11,6.400390625,31.0,1.5072544642857142
2025-03-25 03:56:00,23673.05078125,23691.150390625,23673.05078125,23691.150390625,0,12,-19.099609375,-25.5,-1.86865234375
2025-03-25 03:57:00,23680.19921875,23680.19921875,23665.650390625,23672.150390625,0,13,7.1484375,26.248046875,1.2554253472222223
2025-03-25 03:58:00,23688.19921875,23690.69921875,23675.599609375,23680.349609375,0,14,8.0,0.8515625,1.2150390625
2025-03-25 03:59:00,23723.5,23725.30078125,23688.25,23688.5,0,15,35.30078125,27.30078125,4.880078125
2025-03-25 04:00:00,23734.19921875,23741.44921875,23720.900390625,23721.650390625,0,16,10.69921875,-24.6015625,2.08984375
2025-03-25 04:01:00,23744.400390625,23751.30078125,23737.19921875,23739.900390625,0,17,10.201171875,-0.498046875,2.4251953125
