Datetime,Close,High,Low,Open,Volume,Sequence,Velocity,Acceleration,Acceleration_MA
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-03-18 03:47:00,22629.25,22636.69921875,22626.400390625,22630.650390625,0,3,,,
2025-03-18 03:48:00,22613.75,22631.30078125,22609.400390625,22628.05078125,0,4,-15.5,,
2025-03-18 03:49:00,22611.5,22620.80078125,22610.30078125,22613.75,0,5,-2.25,13.25,13.25
2025-03-18 03:50:00,22608.44921875,22617.30078125,22607.19921875,22610.44921875,0,6,-3.05078125,-0.80078125,6.224609375
2025-03-18 03:51:00,22610.599609375,22611.900390625,22605.30078125,22608.80078125,0,7,2.150390625,5.201171875,5.883463541666667
2025-03-18 03:52:00,22616.80078125,22617.55078125,22609.150390625,22610.5,0,8,6.201171875,4.05078125,5.42529296875
2025-03-18 03:53:00,22641.099609375,22641.94921875,22616.900390625,22616.900390625,0,9,24.298828125,18.09765625,7.959765625
2025-03-18 03:54:00,22653.150390625,22653.55078125,22640.30078125,22641.650390625,0,10,12.05078125,-12.248046875,4.591796875
2025-03-18 03:55:00,22658.5,22658.5,22649.05078125,22652.099609375,0,11,5.349609375,-6.701171875,2.978515625
2025-03-18 03:56:00,22657.25,22671.30078125,22656.349609375,22660.599609375,0,12,-1.25,-6.599609375,1.78125
2025-03-18 03:57:00,22660.349609375,22660.80078125,22644.44921875,22656.69921875,0,13,3.099609375,4.349609375,2.066623263888889
2025-03-18 03:58:00,22656.30078125,22661.900390625,22652.69921875,22661.900390625,0,14,-4.048828125,-7.1484375,1.1451171875
2025-03-18 03:59:00,22644.25,22659.30078125,22643.69921875,22655.349609375,0,15,-12.05078125,-8.001953125,-0.980078125
2025-03-18 04:00:00,22653.400390625,22655.94921875,22639.19921875,22644.099609375,0,16,9.150390625,21.201171875,1.2201171875
2025-03-18 04:01:00,22662.19921875,22666.25,22651.69921875,22653.44921875,0,17,8.798828125,-0.3515625,0.66484375
2025-03-18 04:02:00,22674.900390625,22677.75,22661.650390625,22661.650390625,0,18,12.701171875,3.90234375,0.65
2025-03-18 04:03:00,22683.150390625,22686.44921875,22674.80078125,22675.30078125,0,19,8.25,-4.451171875,-1.6048828125
2025-03-18 04:04:00,22678.69921875,22688.44921875,22675.900390625,22683.25,0,20,-4.451171875,-12.701171875,-1.6501953125
2025-03-18 04:05:00,22684.44921875,22685.650390625,22675.19921875,22678.849609375,0,21,5.75,10.201171875,0.0400390625
2025-03-18 04:06:00,22685.0,22696.900390625,22683.099609375,22683.099609375,0,22,0.55078125,-5.19921875,0.180078125
2025-03-18 04:07:00,22694.30078125,22695.44921875,22682.30078125,22685.69921875,0,23,9.30078125,8.75,0.6201171875
2025-03-18 04:08:00,22693.19921875,22696.55078125,22690.099609375,22695.400390625,0,24,-1.1015625,-10.40234375,0.2947265625
2025-03-18 04:09:00,22702.5,22703.0,22693.400390625,22694.55078125,0,25,9.30078125,10.40234375,2.13515625
2025-03-18 04:10:00,22691.19921875,22703.099609375,22691.19921875,22702.69921875,0,26,-11.30078125,-20.6015625,-2.0451171875
2025-03-18 04:11:00,22689.5,22692.0,22682.55078125,22691.80078125,0,27,-1.69921875,9.6015625,-1.0498046875
2025-03-18 04:12:00,22695.30078125,22695.900390625,22686.05078125,22690.099609375,0,28,5.80078125,7.5,-0.6900390625
2025-03-18 04:13:00,22688.44921875,22698.69921875,22687.900390625,22695.94921875,0,29,-6.8515625,-12.65234375,-1.51015625
2025-03-18 04:14:00,22681.349609375,22690.5,22680.650390625,22687.900390625,0,30,-7.099609375,-0.248046875,-0.26484375
2025-03-18 04:15:00,22671.150390625,22681.150390625,22666.849609375,22681.150390625,0,31,-10.19921875,-3.099609375,-1.594921875
2025-03-18 04:16:00,22675.55078125,22676.599609375,22665.55078125,22670.69921875,0,32,4.400390625,14.599609375,0.3849609375
2025-03-18 04:17:00,22687.80078125,22692.650390625,22676.80078125,22677.599609375,0,33,12.25,7.849609375,0.294921875
2025-03-18 04:18:00,22694.30078125,22695.900390625,22685.05078125,22687.349609375,0,34,6.5,-5.75,0.76015625
2025-03-18 04:19:00,22688.55078125,22696.80078125,22687.0,22694.349609375,0,35,-5.75,-12.25,-1.505078125
2025-03-18 04:20:00,22683.75,22692.44921875,22681.849609375,22688.650390625,0,36,-4.80078125,0.94921875,0.65
2025-03-18 04:21:00,22687.400390625,22687.75,22681.650390625,22683.69921875,0,37,3.650390625,8.451171875,0.5349609375
2025-03-18 04:22:00,22695.75,22696.80078125,22688.75,22688.900390625,0,38,8.349609375,4.69921875,0.2548828125
2025-03-18 04:23:00,22693.849609375,22702.05078125,22693.849609375,22696.55078125,0,39,-1.900390625,-10.25,0.4951171875
2025-03-18 04:24:00,22681.05078125,22693.349609375,22680.19921875,22693.349609375,0,40,-12.798828125,-10.8984375,-0.569921875
2025-03-18 04:25:00,22679.849609375,22681.900390625,22676.25,22680.400390625,0,41,-1.201171875,11.59765625,0.8998046875
2025-03-18 04:26:00,22676.05078125,22679.30078125,22671.349609375,22678.75,0,42,-3.798828125,-2.59765625,-0.819921875
2025-03-18 04:27:00,22676.599609375,22676.849609375,22671.349609375,22675.25,0,43,0.548828125,4.34765625,-1.1701171875
2025-03-18 04:28:00,22681.900390625,22683.05078125,22678.25,22679.30078125,0,44,5.30078125,4.751953125,-0.119921875
2025-03-18 04:29:00,22683.400390625,22688.349609375,22682.25,22682.30078125,0,45,1.5,-3.80078125,0.725
2025-03-18 04:30:00,22709.25,22713.55078125,22681.44921875,22684.19921875,0,46,25.849609375,24.349609375,3.0650390625
2025-03-18 04:31:00,22722.900390625,22728.30078125,22710.5,22711.19921875,0,47,13.650390625,-12.19921875,1.0
2025-03-18 04:32:00,22734.69921875,22737.599609375,22721.599609375,22723.099609375,0,48,11.798828125,-1.8515625,0.344921875
2025-03-18 04:33:00,22728.650390625,22739.0,22726.349609375,22734.19921875,0,49,-6.048828125,-17.84765625,-0.41484375
2025-03-18 04:34:00,22738.150390625,22740.94921875,22728.650390625,22728.650390625,0,50,9.5,15.548828125,2.2298828125
2025-03-18 04:35:00,22739.55078125,22745.650390625,22732.55078125,22739.30078125,0,51,1.400390625,-8.099609375,0.26015625
2025-03-18 04:36:00,22745.94921875,22751.05078125,22733.44921875,22738.30078125,0,52,6.3984375,4.998046875,1.0197265625
2025-03-18 04:37:00,22737.0,22746.69921875,22732.94921875,22744.349609375,0,53,-8.94921875,-15.34765625,-0.9498046875
2025-03-18 04:38:00,22741.25,22741.25,22731.099609375,22737.44921875,0,54,4.25,13.19921875,-0.105078125
2025-03-18 04:39:00,22739.5,22743.849609375,22735.349609375,22743.849609375,0,55,-1.75,-6.0,-0.325
2025-03-18 04:40:00,22742.05078125,22746.099609375,22736.30078125,22740.900390625,0,56,2.55078125,4.30078125,-2.3298828125
2025-03-18 04:41:00,22738.69921875,22743.80078125,22731.099609375,22741.44921875,0,57,-3.3515625,-5.90234375,-1.7001953125
2025-03-18 04:42:00,22731.0,22738.05078125,22727.05078125,22738.05078125,0,58,-7.69921875,-4.34765625,-1.9498046875
2025-03-18 04:43:00,22736.400390625,22740.900390625,22724.900390625,22731.30078125,0,59,5.400390625,13.099609375,1.144921875
2025-03-18 04:44:00,22745.349609375,22748.19921875,22733.5,22736.150390625,0,60,8.94921875,3.548828125,-0.055078125
2025-03-18 04:45:00,22735.44921875,22752.400390625,22735.19921875,22746.5,0,61,-9.900390625,-18.849609375,-1.130078125
2025-03-18 04:46:00,22733.44921875,22739.05078125,22729.400390625,22734.69921875,0,62,-2.0,7.900390625,-0.83984375
2025-03-18 04:47:00,22742.25,22745.849609375,22732.69921875,22734.80078125,0,63,8.80078125,10.80078125,1.775
2025-03-18 04:48:00,22741.44921875,22744.349609375,22736.849609375,22742.05078125,0,64,-0.80078125,-9.6015625,-0.505078125
2025-03-18 04:49:00,22747.849609375,22747.94921875,22736.30078125,22740.94921875,0,65,6.400390625,7.201171875,0.8150390625
2025-03-18 04:50:00,22737.650390625,22750.44921875,22737.650390625,22748.05078125,0,66,-10.19921875,-16.599609375,-1.275
2025-03-18 04:51:00,22739.80078125,22741.44921875,22734.25,22737.75,0,67,2.150390625,12.349609375,0.5501953125
2025-03-18 04:52:00,22741.599609375,22748.0,22740.25,22740.69921875,0,68,1.798828125,-0.3515625,0.9498046875
2025-03-18 04:53:00,22738.19921875,22740.94921875,22735.900390625,22740.94921875,0,69,-3.400390625,-5.19921875,-0.880078125
2025-03-18 04:54:00,22738.650390625,22740.150390625,22735.44921875,22737.80078125,0,70,0.451171875,3.8515625,-0.8498046875
2025-03-18 04:55:00,22740.94921875,22741.150390625,22735.75,22738.5,0,71,2.298828125,1.84765625,1.219921875
2025-03-18 04:56:00,22736.94921875,22741.099609375,22735.150390625,22740.900390625,0,72,-4.0,-6.298828125,-0.2
2025-03-18 04:57:00,22736.25,22743.099609375,22732.349609375,22736.44921875,0,73,-0.69921875,3.30078125,-0.95
2025-03-18 04:58:00,22737.0,22740.05078125,22733.69921875,22735.44921875,0,74,0.75,1.44921875,0.155078125
2025-03-18 04:59:00,22763.25,22763.25,22738.0,22738.94921875,0,75,26.25,25.5,1.9849609375
2025-03-18 05:00:00,22757.900390625,22767.94921875,22757.05078125,22764.599609375,0,76,-5.349609375,-31.599609375,0.4849609375
2025-03-18 05:01:00,22762.400390625,22768.099609375,22756.94921875,22756.94921875,0,77,4.5,9.849609375,0.2349609375
2025-03-18 05:02:00,22759.05078125,22762.5,22753.44921875,22762.5,0,78,-3.349609375,-7.849609375,-0.51484375
2025-03-18 05:03:00,22763.900390625,22766.349609375,22756.05078125,22760.0,0,79,4.849609375,8.19921875,0.825
2025-03-18 05:04:00,22761.75,22767.150390625,22758.75,22764.0,0,80,-2.150390625,-7.0,-0.26015625
2025-03-18 05:05:00,22756.80078125,22764.650390625,22752.69921875,22762.05078125,0,81,-4.94921875,-2.798828125,-0.7248046875
2025-03-18 05:06:00,22758.55078125,22758.849609375,22752.55078125,22756.599609375,0,82,1.75,6.69921875,0.575
2025-03-18 05:07:00,22760.0,22762.599609375,22755.150390625,22758.0,0,83,1.44921875,-0.30078125,0.21484375
2025-03-18 05:08:00,22758.55078125,22761.55078125,22755.5,22760.44921875,0,84,-1.44921875,-2.8984375,-0.219921875
2025-03-18 05:09:00,22762.650390625,22763.19921875,22756.44921875,22757.69921875,0,85,4.099609375,5.548828125,-2.2150390625
2025-03-18 05:10:00,22760.849609375,22766.650390625,22760.849609375,22762.0,0,86,-1.80078125,-5.900390625,0.3548828125
2025-03-18 05:11:00,22762.05078125,22764.150390625,22756.5,22760.55078125,0,87,1.201171875,3.001953125,-0.3298828125
2025-03-18 05:12:00,22768.44921875,22772.849609375,22760.150390625,22761.69921875,0,88,6.3984375,5.197265625,0.9748046875
2025-03-18 05:13:00,22770.099609375,22772.349609375,22765.5,22767.80078125,0,89,1.650390625,-4.748046875,-0.319921875
2025-03-18 05:14:00,22773.400390625,22774.30078125,22769.69921875,22769.94921875,0,90,3.30078125,1.650390625,0.5451171875
2025-03-18 05:15:00,22768.900390625,22774.099609375,22765.099609375,22773.849609375,0,91,-4.5,-7.80078125,0.044921875
2025-03-18 05:16:00,22764.650390625,22773.19921875,22764.44921875,22769.44921875,0,92,-4.25,0.25,-0.6
2025-03-18 05:17:00,22766.099609375,22767.599609375,22760.849609375,22764.400390625,0,93,1.44921875,5.69921875,0.0
2025-03-18 05:18:00,22765.30078125,22768.69921875,22763.099609375,22766.30078125,0,94,-0.798828125,-2.248046875,0.0650390625
2025-03-18 05:19:00,22759.150390625,22765.94921875,22758.099609375,22764.55078125,0,95,-6.150390625,-5.3515625,-1.025
2025-03-18 05:20:00,22759.349609375,22762.94921875,22756.44921875,22758.650390625,0,96,0.19921875,6.349609375,0.2
2025-03-18 05:21:00,22763.05078125,22763.30078125,22758.349609375,22759.400390625,0,97,3.701171875,3.501953125,0.25
2025-03-18 05:22:00,22770.25,22771.599609375,22762.30078125,22763.55078125,0,98,7.19921875,3.498046875,0.080078125
2025-03-18 05:23:00,22769.44921875,22772.400390625,22769.30078125,22770.400390625,0,99,-0.80078125,-8.0,-0.2451171875
2025-03-18 05:24:00,22760.349609375,22769.80078125,22758.55078125,22769.55078125,0,100,-9.099609375,-8.298828125,-1.2400390625
2025-03-18 05:25:00,22762.75,22766.349609375,22759.849609375,22760.400390625,0,101,2.400390625,11.5,0.6900390625
2025-03-18 05:26:00,22758.44921875,22762.650390625,22756.69921875,22762.650390625,0,102,-4.30078125,-6.701171875,-0.005078125
2025-03-18 05:27:00,22748.30078125,22758.400390625,22747.0,22758.400390625,0,103,-10.1484375,-5.84765625,-1.159765625
2025-03-18 05:28:00,22751.650390625,22754.349609375,22746.55078125,22748.69921875,0,104,3.349609375,13.498046875,0.41484375
2025-03-18 05:29:00,22750.80078125,22751.80078125,22747.650390625,22749.94921875,0,105,-0.849609375,-4.19921875,0.530078125
2025-03-18 05:30:00,22749.44921875,22753.900390625,22748.599609375,22751.349609375,0,106,-1.3515625,-0.501953125,-0.155078125
2025-03-18 05:31:00,22748.19921875,22750.400390625,22745.099609375,22749.400390625,0,107,-1.25,0.1015625,-0.4951171875
2025-03-18 05:32:00,22742.30078125,22749.0,22740.650390625,22748.599609375,0,108,-5.8984375,-4.6484375,-1.309765625
2025-03-18 05:33:00,22751.25,22752.849609375,22739.650390625,22742.099609375,0,109,8.94921875,14.84765625,0.975
2025-03-18 05:34:00,22753.400390625,22755.099609375,22747.69921875,22751.25,0,110,2.150390625,-6.798828125,1.125
2025-03-18 05:35:00,22746.5,22753.25,22744.349609375,22753.25,0,111,-6.900390625,-9.05078125,-0.930078125
2025-03-18 05:36:00,22743.55078125,22748.849609375,22741.55078125,22747.150390625,0,112,-2.94921875,3.951171875,0.13515625
2025-03-18 05:37:00,22745.19921875,22747.900390625,22741.05078125,22743.0,0,113,1.6484375,4.59765625,1.1796875
2025-03-18 05:38:00,22744.80078125,22747.099609375,22741.75,22744.400390625,0,114,-0.3984375,-2.046875,-0.3748046875
2025-03-18 05:39:00,22754.150390625,22755.44921875,22744.650390625,22744.75,0,115,9.349609375,9.748046875,1.019921875
2025-03-18 05:40:00,22759.599609375,22760.69921875,22752.44921875,22753.94921875,0,116,5.44921875,-3.900390625,0.680078125
2025-03-18 05:41:00,22762.650390625,22764.80078125,22758.599609375,22759.5,0,117,3.05078125,-2.3984375,0.430078125
2025-03-18 05:42:00,22761.849609375,22764.099609375,22760.650390625,22762.30078125,0,118,-0.80078125,-3.8515625,0.509765625
2025-03-18 05:43:00,22761.349609375,22762.150390625,22758.900390625,22761.94921875,0,119,-0.5,0.30078125,-0.944921875
2025-03-18 05:44:00,22757.05078125,22762.0,22756.94921875,22761.650390625,0,120,-4.298828125,-3.798828125,-0.644921875
2025-03-18 05:45:00,22751.80078125,22757.650390625,22747.25,22757.19921875,0,121,-5.25,-0.951171875,0.1650390625
2025-03-18 05:46:00,22751.400390625,22754.44921875,22751.25,22752.75,0,122,-0.400390625,4.849609375,0.2548828125
2025-03-18 05:47:00,22750.5,22753.55078125,22748.400390625,22751.5,0,123,-0.900390625,-0.5,-0.2548828125
2025-03-18 05:48:00,22750.75,22755.0,22749.69921875,22750.650390625,0,124,0.25,1.150390625,0.06484375
2025-03-18 05:49:00,22749.849609375,22752.599609375,22748.599609375,22751.099609375,0,125,-0.900390625,-1.150390625,-1.025
2025-03-18 05:50:00,22746.650390625,22750.30078125,22745.05078125,22749.349609375,0,126,-3.19921875,-2.298828125,-0.86484375
2025-03-18 05:51:00,22743.650390625,22747.44921875,22741.900390625,22746.80078125,0,127,-3.0,0.19921875,-0.605078125
2025-03-18 05:52:00,22749.900390625,22750.150390625,22743.5,22744.05078125,0,128,6.25,9.25,0.705078125
2025-03-18 05:53:00,22750.80078125,22752.900390625,22749.25,22749.69921875,0,129,0.900390625,-5.349609375,0.1400390625
2025-03-18 05:54:00,22753.650390625,22754.30078125,22748.05078125,22750.75,0,130,2.849609375,1.94921875,0.71484375
2025-03-18 05:55:00,22751.150390625,22753.69921875,22749.55078125,22753.30078125,0,131,-2.5,-5.349609375,0.275
2025-03-18 05:56:00,22749.400390625,22751.400390625,22747.75,22750.69921875,0,132,-1.75,0.75,-0.1349609375
2025-03-18 05:57:00,22745.650390625,22749.0,22743.05078125,22748.900390625,0,133,-3.75,-2.0,-0.2849609375
2025-03-18 05:58:00,22743.44921875,22747.150390625,22742.19921875,22746.05078125,0,134,-2.201171875,1.548828125,-0.2451171875
2025-03-18 05:59:00,22753.599609375,22754.599609375,22742.19921875,22743.900390625,0,135,10.150390625,12.3515625,1.105078125
2025-03-18 06:00:00,22755.69921875,22759.849609375,22753.69921875,22753.69921875,0,136,2.099609375,-8.05078125,0.5298828125
2025-03-18 06:01:00,22757.44921875,22758.650390625,22753.25,22754.69921875,0,137,1.75,-0.349609375,0.475
2025-03-18 06:02:00,22769.05078125,22769.05078125,22757.30078125,22757.44921875,0,138,11.6015625,9.8515625,0.53515625
2025-03-18 06:03:00,22776.05078125,22776.69921875,22767.05078125,22769.25,0,139,7.0,-4.6015625,0.6099609375
2025-03-18 06:04:00,22770.099609375,22776.94921875,22770.05078125,22775.69921875,0,140,-5.951171875,-12.951171875,-0.880078125
2025-03-18 06:05:00,22772.19921875,22772.19921875,22766.849609375,22770.099609375,0,141,2.099609375,8.05078125,0.4599609375
2025-03-18 06:06:00,22775.55078125,22775.599609375,22771.69921875,22771.75,0,142,3.3515625,1.251953125,0.51015625
2025-03-18 06:07:00,22777.650390625,22780.55078125,22774.599609375,22774.599609375,0,143,2.099609375,-1.251953125,0.5849609375
2025-03-18 06:08:00,22776.55078125,22778.69921875,22774.75,22778.69921875,0,144,-1.099609375,-3.19921875,0.11015625
2025-03-18 06:09:00,22775.44921875,22778.55078125,22774.650390625,22776.55078125,0,145,-1.1015625,-0.001953125,-1.1251953125
2025-03-18 06:10:00,22770.0,22776.400390625,22769.900390625,22775.30078125,0,146,-5.44921875,-4.34765625,-0.7548828125
2025-03-18 06:11:00,22769.400390625,22770.19921875,22764.849609375,22770.099609375,0,147,-0.599609375,4.849609375,-0.2349609375
2025-03-18 06:12:00,22771.900390625,22773.900390625,22766.55078125,22769.55078125,0,148,2.5,3.099609375,-0.91015625
2025-03-18 06:13:00,22770.05078125,22779.44921875,22769.80078125,22771.75,0,149,-1.849609375,-4.349609375,-0.8849609375
2025-03-18 06:14:00,22765.650390625,22771.099609375,22764.150390625,22770.0,0,150,-4.400390625,-2.55078125,0.155078125
2025-03-18 06:15:00,22763.150390625,22765.69921875,22762.349609375,22765.44921875,0,151,-2.5,1.900390625,-0.4599609375
2025-03-18 06:16:00,22762.69921875,22763.44921875,22759.05078125,22762.900390625,0,152,-0.451171875,2.048828125,-0.3802734375
2025-03-18 06:17:00,22770.900390625,22771.19921875,22761.849609375,22762.150390625,0,153,8.201171875,8.65234375,0.61015625
2025-03-18 06:18:00,22771.05078125,22775.150390625,22768.5,22770.75,0,154,0.150390625,-8.05078125,0.125
2025-03-18 06:19:00,22772.80078125,22774.44921875,22769.5,22771.05078125,0,155,1.75,1.599609375,0.28515625
2025-03-18 06:20:00,22776.150390625,22776.900390625,22772.30078125,22772.599609375,0,156,3.349609375,1.599609375,0.8798828125
2025-03-18 06:21:00,22779.55078125,22780.150390625,22775.75,22776.19921875,0,157,3.400390625,0.05078125,0.4
2025-03-18 06:22:00,22779.849609375,22780.19921875,22776.650390625,22778.69921875,0,158,0.298828125,-3.1015625,-0.2201171875
2025-03-18 06:23:00,22773.900390625,22781.099609375,22772.5,22778.19921875,0,159,-5.94921875,-6.248046875,-0.4099609375
2025-03-18 06:24:00,22770.5,22775.599609375,22768.19921875,22773.55078125,0,160,-3.400390625,2.548828125,0.1
2025-03-18 06:25:00,22764.849609375,22770.849609375,22764.80078125,22770.5,0,161,-5.650390625,-2.25,-0.3150390625
2025-03-18 06:26:00,22765.55078125,22769.599609375,22765.0,22766.0,0,162,0.701171875,6.3515625,0.115234375
2025-03-18 06:27:00,22764.400390625,22766.400390625,22761.650390625,22766.400390625,0,163,-1.150390625,-1.8515625,-0.93515625
2025-03-18 06:28:00,22770.849609375,22772.150390625,22763.099609375,22763.30078125,0,164,6.44921875,7.599609375,0.6298828125
2025-03-18 06:29:00,22769.900390625,22773.349609375,22769.400390625,22771.599609375,0,165,-0.94921875,-7.3984375,-0.269921875
2025-03-18 06:30:00,22770.80078125,22773.44921875,22768.55078125,22769.099609375,0,166,0.900390625,1.849609375,-0.244921875
2025-03-18 06:31:00,22773.94921875,22775.0,22770.69921875,22770.69921875,0,167,3.1484375,2.248046875,-0.0251953125
2025-03-18 06:32:00,22771.599609375,22774.19921875,22769.5,22774.05078125,0,168,-2.349609375,-5.498046875,-0.26484375
2025-03-18 06:33:00,22774.150390625,22774.900390625,22771.44921875,22771.44921875,0,169,2.55078125,4.900390625,0.85
2025-03-18 06:34:00,22776.400390625,22777.0,22773.94921875,22774.150390625,0,170,2.25,-0.30078125,0.5650390625
2025-03-18 06:35:00,22772.19921875,22776.75,22771.75,22775.599609375,0,171,-4.201171875,-6.451171875,0.144921875
2025-03-18 06:36:00,22762.94921875,22771.94921875,22762.69921875,22771.94921875,0,172,-9.25,-5.048828125,-0.9951171875
2025-03-18 06:37:00,22760.75,22765.599609375,22760.650390625,22763.150390625,0,173,-2.19921875,7.05078125,-0.1048828125
2025-03-18 06:38:00,22763.75,22765.30078125,22760.75,22760.75,0,174,3.0,5.19921875,-0.344921875
2025-03-18 06:39:00,22770.30078125,22771.0,22763.599609375,22764.30078125,0,175,6.55078125,3.55078125,0.75
2025-03-18 06:40:00,22765.25,22771.55078125,22764.05078125,22769.80078125,0,176,-5.05078125,-11.6015625,-0.5951171875
2025-03-18 06:41:00,22768.349609375,22771.150390625,22764.44921875,22764.80078125,0,177,3.099609375,8.150390625,-0.0048828125
2025-03-18 06:42:00,22769.69921875,22771.30078125,22767.69921875,22768.849609375,0,178,1.349609375,-1.75,0.369921875
2025-03-18 06:43:00,22774.099609375,22774.099609375,22768.599609375,22769.44921875,0,179,4.400390625,3.05078125,0.1849609375
2025-03-18 06:44:00,22769.650390625,22773.150390625,22769.0,22771.80078125,0,180,-4.44921875,-8.849609375,-0.669921875
2025-03-18 06:45:00,22768.849609375,22770.400390625,22768.0,22769.849609375,0,181,-0.80078125,3.6484375,0.3400390625
2025-03-18 06:46:00,22767.0,22769.099609375,22766.30078125,22769.0,0,182,-1.849609375,-1.048828125,0.7400390625
2025-03-18 06:47:00,22761.900390625,22767.55078125,22761.900390625,22766.80078125,0,183,-5.099609375,-3.25,-0.2900390625
2025-03-18 06:48:00,22759.650390625,22762.19921875,22756.80078125,22761.599609375,0,184,-2.25,2.849609375,-0.525
2025-03-18 06:49:00,22759.5,22761.19921875,22756.75,22761.19921875,0,185,-0.150390625,2.099609375,-0.6701171875
2025-03-18 06:50:00,22756.400390625,22761.900390625,22755.099609375,22759.650390625,0,186,-3.099609375,-2.94921875,0.1951171875
2025-03-18 06:51:00,22764.80078125,22764.80078125,22754.69921875,22756.5,0,187,8.400390625,11.5,0.530078125
