Datetime,Close,High,Low,Open,Volume,Sequence,Velocity,Acceleration,Acceleration_MA
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-04-24 03:47:00,24278.94921875,24293.30078125,24274.400390625,24283.30078125,0,3,,,
2025-04-24 03:48:00,24277.400390625,24293.099609375,24277.400390625,24279.55078125,0,4,-1.548828125,,
2025-04-24 03:49:00,24271.75,24277.900390625,24270.349609375,24277.30078125,0,5,-5.650390625,-4.1015625,-4.1015625
2025-04-24 03:50:00,24273.75,24277.69921875,24272.05078125,24272.05078125,0,6,2.0,7.650390625,1.7744140625
2025-04-24 03:51:00,24272.349609375,24274.900390625,24271.30078125,24273.849609375,0,7,-1.400390625,-3.400390625,0.049479166666666664
2025-04-24 03:52:00,24273.75,24275.099609375,24271.75,24272.44921875,0,8,1.400390625,2.80078125,0.7373046875
2025-04-24 03:53:00,24273.94921875,24276.150390625,24272.05078125,24273.75,0,9,0.19921875,-1.201171875,0.349609375
2025-04-24 03:54:00,24271.75,24277.25,24270.099609375,24272.75,0,10,-2.19921875,-2.3984375,-0.1083984375
2025-04-24 03:55:00,24261.69921875,24272.599609375,24260.55078125,24272.19921875,0,11,-10.05078125,-7.8515625,-1.2145647321428572
2025-04-24 03:56:00,24259.25,24264.650390625,24258.900390625,24262.30078125,0,12,-2.44921875,7.6015625,-0.112548828125
2025-04-24 03:57:00,24256.75,24260.099609375,24256.75,24259.150390625,0,13,-2.5,-0.05078125,-0.1056857638888889
2025-04-24 03:58:00,24256.30078125,24256.75,24256.30078125,24256.75,0,14,-0.44921875,2.05078125,0.1099609375
2025-04-24 03:59:00,24253.400390625,24257.05078125,24251.80078125,24256.099609375,0,15,-2.900390625,-2.451171875,0.275
2025-04-24 04:00:00,24252.75,24255.150390625,24249.55078125,24253.099609375,0,16,-0.650390625,2.25,-0.2650390625
2025-04-24 04:01:00,24250.05078125,24252.19921875,24248.80078125,24252.19921875,0,17,-2.69921875,-2.048828125,-0.1298828125
2025-04-24 04:02:00,24256.650390625,24258.44921875,24249.650390625,24250.0,0,18,6.599609375,9.298828125,0.519921875
2025-04-24 04:03:00,24288.44921875,24292.94921875,24254.849609375,24256.5,0,19,31.798828125,25.19921875,3.1599609375
2025-04-24 04:04:00,24319.30078125,24319.30078125,24287.05078125,24288.55078125,0,20,30.8515625,-0.947265625,3.305078125
2025-04-24 04:05:00,24345.44921875,24346.44921875,24320.05078125,24320.05078125,0,21,26.1484375,-4.703125,3.619921875
2025-04-24 04:06:00,24299.900390625,24347.55078125,24299.900390625,24345.599609375,0,22,-45.548828125,-71.697265625,-4.3099609375
2025-04-24 04:07:00,24306.80078125,24307.349609375,24294.30078125,24301.099609375,0,23,6.900390625,52.44921875,0.9400390625
2025-04-24 04:08:00,24294.5,24313.94921875,24294.5,24306.19921875,0,24,-12.30078125,-19.201171875,-1.18515625
2025-04-24 04:09:00,24294.44921875,24297.55078125,24290.400390625,24295.650390625,0,25,-0.05078125,12.25,0.2849609375
2025-04-24 04:10:00,24267.150390625,24295.900390625,24262.650390625,24295.900390625,0,26,-27.298828125,-27.248046875,-2.66484375
2025-04-24 04:11:00,24276.30078125,24281.099609375,24261.80078125,24267.05078125,0,27,9.150390625,36.44921875,1.1849609375
2025-04-24 04:12:00,24273.0,24279.150390625,24271.099609375,24276.650390625,0,28,-3.30078125,-12.451171875,-0.9900390625
2025-04-24 04:13:00,24267.400390625,24274.099609375,24266.80078125,24273.19921875,0,29,-5.599609375,-2.298828125,-3.73984375
2025-04-24 04:14:00,24263.94921875,24272.25,24260.80078125,24267.099609375,0,30,-3.451171875,2.1484375,-3.4302734375
2025-04-24 04:15:00,24256.849609375,24264.05078125,24246.69921875,24263.0,0,31,-7.099609375,-3.6484375,-3.3248046875
2025-04-24 04:16:00,24243.05078125,24259.69921875,24243.05078125,24256.849609375,0,32,-13.798828125,-6.69921875,3.175
2025-04-24 04:17:00,24247.150390625,24251.5,24239.69921875,24243.400390625,0,33,4.099609375,17.8984375,-0.280078125
2025-04-24 04:18:00,24248.0,24251.849609375,24247.650390625,24248.900390625,0,34,0.849609375,-3.25,1.3150390625
2025-04-24 04:19:00,24248.650390625,24250.0,24245.5,24248.349609375,0,35,0.650390625,-0.19921875,0.0701171875
2025-04-24 04:20:00,24258.400390625,24263.349609375,24245.19921875,24248.25,0,36,9.75,9.099609375,3.7048828125
2025-04-24 04:21:00,24258.849609375,24262.349609375,24255.25,24258.5,0,37,0.44921875,-9.30078125,-0.8701171875
2025-04-24 04:22:00,24262.44921875,24266.05078125,24258.55078125,24259.0,0,38,3.599609375,3.150390625,0.6900390625
2025-04-24 04:23:00,24273.55078125,24273.69921875,24262.94921875,24263.5,0,39,11.1015625,7.501953125,1.6701171875
