Strike Price,expiryDate,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue,date,Time
12000,25-Jun-2026,6.333333333333333,0.0,0.0,0,0.0,20.05,0.0,0.0,1875,0,75,20.05,0,0.0,22795.9,2025-02-22,23-36-22
12000,31-Dec-2026,13.666666666666666,0.0,0.0,0,0.0,20.05,0.0,0.0,1875,0,1800,1.05,0,0.0,22795.9,2025-02-22,23-36-22
13000,24-Dec-2025,10.0,2.0,25.0,2,31.37,20.05,10.0,99.50248756218905,750,600,750,10.15,600,20.05,22795.9,2025-02-22,23-36-22
13000,31-Dec-2026,27.0,0.0,0.0,0,0.0,20.05,0.0,0.0,2625,0,825,20.05,0,0.0,22795.9,2025-02-22,23-36-22
14000,26-Jun-2025,39.0,0.0,0.0,0,0.0,0.25,0.0,0.0,2550,1125,2325,1.05,975,9.95,22795.9,2025-02-22,23-36-22
14000,25-Jun-2026,14.333333333333334,0.0,0.0,0,0.0,20.05,0.0,0.0,150,0,150,20.05,0,0.0,22795.9,2025-02-22,23-36-22
14000,31-Dec-2026,20.666666666666668,0.0,0.0,0,0.0,20.2,0.0,0.0,525,0,525,20.3,0,0.0,22795.9,2025-02-22,23-36-22
15000,26-Jun-2025,52.666666666666664,7.0,15.328467153284672,7,31.42,7.5,0.0,0.0,1725,3450,75,7.3,375,10.0,22795.9,2025-02-22,23-36-22
15000,24-Dec-2025,25.333333333333332,0.0,0.0,3,25.0,20.05,0.0,0.0,3150,1350,750,5.05,975,36.95,22795.9,2025-02-22,23-36-22
15000,25-Jun-2026,13.333333333333334,0.0,0.0,0,0.0,20.2,0.0,0.0,225,0,225,20.35,0,0.0,22795.9,2025-02-22,23-36-22
15000,31-Dec-2026,30.333333333333332,0.0,0.0,0,0.0,36.75,0.0,0.0,825,0,675,21.4,0,0.0,22795.9,2025-02-22,23-36-22
15000,30-Dec-2027,6.333333333333333,0.0,0.0,0,0.0,43.05,0.0,0.0,750,0,300,24.4,0,0.0,22795.9,2025-02-22,23-36-22
16000,26-Jun-2025,22.0,0.0,0.0,0,0.0,3.55,0.0,0.0,3975,1350,75,9.05,1350,18.9,22795.9,2025-02-22,23-36-22
16000,24-Dec-2025,28.333333333333332,0.0,0.0,0,0.0,20.25,0.0,0.0,1725,0,1200,20.2,0,0.0,22795.9,2025-02-22,23-36-22
16000,25-Jun-2026,16.333333333333332,0.0,0.0,0,0.0,48.95,0.0,0.0,1575,0,825,21.85,0,0.0,22795.9,2025-02-22,23-36-22
16000,31-Dec-2026,32.333333333333336,0.0,0.0,0,0.0,23.3,0.0,0.0,525,0,75,24.8,0,0.0,22795.9,2025-02-22,23-36-22
16500,24-Dec-2025,36.666666666666664,0.0,0.0,0,0.0,20.3,0.0,0.0,1875,0,1350,20.7,0,0.0,22795.9,2025-02-22,23-36-22
17000,24-Dec-2025,50.0,0.0,0.0,0,0.0,39.05,0.0,0.0,17550,0,1725,21.65,0,0.0,22795.9,2025-02-22,23-36-22
