Datetime,Close,High,Low,Open,Volume,Sequence,Velocity,Acceleration,Acceleration_MA
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-03-24 03:47:00,23501.5,23513.400390625,23497.19921875,23511.0,0,3,,,
2025-03-24 03:48:00,23505.30078125,23506.150390625,23490.80078125,23503.30078125,0,4,3.80078125,,
2025-03-24 03:49:00,23514.05078125,23517.94921875,23498.75,23502.80078125,0,5,8.75,4.94921875,4.94921875
2025-03-24 03:50:00,23504.599609375,23514.25,23498.19921875,23513.19921875,0,6,-9.451171875,-18.201171875,-6.6259765625
2025-03-24 03:51:00,23489.5,23505.5,23483.25,23503.30078125,0,7,-15.099609375,-5.6484375,-6.300130208333333
2025-03-24 03:52:00,23506.400390625,23506.400390625,23484.80078125,23490.099609375,0,8,16.900390625,32.0,3.27490234375
2025-03-24 03:53:00,23509.19921875,23518.75,23504.55078125,23505.80078125,0,9,2.798828125,-14.1015625,-0.200390625
2025-03-24 03:54:00,23518.400390625,23519.44921875,23507.349609375,23510.55078125,0,10,9.201171875,6.40234375,0.9000651041666666
2025-03-24 03:55:00,23506.19921875,23518.099609375,23501.69921875,23518.099609375,0,11,-12.201171875,-21.40234375,-2.2859933035714284
2025-03-24 03:56:00,23503.05078125,23510.25,23501.150390625,23505.099609375,0,12,-3.1484375,9.052734375,-0.86865234375
2025-03-24 03:57:00,23503.44921875,23505.05078125,23495.75,23502.5,0,13,0.3984375,3.546875,-0.3780381944444444
2025-03-24 03:58:00,23509.44921875,23512.099609375,23497.75,23500.55078125,0,14,6.0,5.6015625,0.219921875
2025-03-24 03:59:00,23500.0,23510.349609375,23494.69921875,23510.349609375,0,15,-9.44921875,-15.44921875,-1.819921875
2025-03-24 04:00:00,23472.55078125,23498.900390625,23464.80078125,23498.900390625,0,16,-27.44921875,-18.0,-1.7998046875
2025-03-24 04:01:00,23467.150390625,23475.150390625,23462.25,23471.5,0,17,-5.400390625,22.048828125,0.969921875
